month,year,earnings,date,pe_ratio
1,2015,102.8071928071928,2015-01-01T00:00:00Z,20.02
2,2015,97.29417428984112,2015-02-01T00:00:00Z,20.77
3,2015,101.02099236641222,2015-03-01T00:00:00Z,20.96
4,2015,96.15779645191408,2015-04-01T00:00:00Z,21.42
5,2015,96.18156934306569,2015-05-01T00:00:00Z,21.92
6,2015,95.46564195298372,2015-06-01T00:00:00Z,22.12
7,2015,92.74107142857144,2015-07-01T00:00:00Z,22.4
8,2015,94.71783295711062,2015-08-01T00:00:00Z,22.15
9,2015,89.22144522144522,2015-09-01T00:00:00Z,21.45
10,2015,84.8236331569665,2015-10-01T00:00:00Z,22.68
11,2015,88.89311364596534,2015-11-01T00:00:00Z,23.67
12,2015,88.56781802864364,2015-12-01T00:00:00Z,23.74
1,2016,90.7439134355275,2016-01-01T00:00:00Z,22.18
2,2016,88.07447774750227,2016-02-01T00:00:00Z,22.02
3,2016,84.5788798631894,2016-03-01T00:00:00Z,23.39
4,2016,86.47476011681269,2016-04-01T00:00:00Z,23.97
5,2016,87.41705165896683,2016-05-01T00:00:00Z,23.81
6,2016,87.58030871923239,2016-06-01T00:00:00Z,23.97
7,2016,85.76264274061991,2016-07-01T00:00:00Z,24.52
8,2016,88.35164835164836,2016-08-01T00:00:00Z,24.57
9,2016,89.63253509496285,2016-09-01T00:00:00Z,24.22
10,2016,91.69282986847686,2016-10-01T00:00:00Z,23.57
11,2016,90.43683083511776,2016-11-01T00:00:00Z,23.35
12,2016,92.21801346801345,2016-12-01T00:00:00Z,23.76
1,2017,95.71004662992794,2017-01-01T00:00:00Z,23.59
2,2017,96.26689189189189,2017-02-01T00:00:00Z,23.68
3,2017,101.52542372881355,2017-03-01T00:00:00Z,23.6
4,2017,101.4974182444062,2017-04-01T00:00:00Z,23.24
5,2017,102.45817245817247,2017-05-01T00:00:00Z,23.31
6,2017,103.85042735042735,2017-06-01T00:00:00Z,23.4
7,2017,103.98116438356165,2017-07-01T00:00:00Z,23.36
8,2017,106.92141623488774,2017-08-01T00:00:00Z,23.16
9,2017,106.38316151202748,2017-09-01T00:00:00Z,23.28
10,2017,106.84833122095479,2017-10-01T00:00:00Z,23.67
11,2017,108.33263334733306,2017-11-01T00:00:00Z,23.81
12,2017,108.95670103092783,2017-12-01T00:00:00Z,24.25
1,2018,107.96155386463758,2018-01-01T00:00:00Z,24.97
2,2018,118.4718723761545,2018-02-01T00:00:00Z,23.82
3,2018,114.38274241777017,2018-03-01T00:00:00Z,23.41
4,2018,114.5983133599645,2018-04-01T00:00:00Z,22.53
5,2018,118.04357492218766,2018-05-01T00:00:00Z,22.49
6,2018,121.59181858603824,2018-06-01T00:00:00Z,22.49
7,2018,122.10927004030452,2018-07-01T00:00:00Z,22.33
8,2018,125.76665176575771,2018-08-01T00:00:00Z,22.37
9,2018,130.1887640449438,2018-09-01T00:00:00Z,22.25
10,2018,137.62823529411764,2018-10-01T00:00:00Z,21.25
11,2018,132.57861635220124,2018-11-01T00:00:00Z,20.67
12,2018,143.90923156266118,2018-12-01T00:00:00Z,19.39
1,2019,128.0612244897959,2019-01-01T00:00:00Z,19.6
2,2019,131.38349514563106,2019-02-01T00:00:00Z,20.6
3,2019,134.40556088207094,2019-03-01T00:00:00Z,20.86
4,2019,132.98701298701297,2019-04-01T00:00:00Z,21.56
5,2019,138.23640661938535,2019-05-01T00:00:00Z,21.15
6,2019,128.4230229293402,2019-06-01T00:00:00Z,21.37
7,2019,133.0475763016158,2019-07-01T00:00:00Z,22.28
8,2019,136.29903091832026,2019-08-01T00:00:00Z,21.67
9,2019,129.51426024955435,2019-09-01T00:00:00Z,22.44
10,2019,133.40290381125226,2019-10-01T00:00:00Z,22.04
11,2019,135.58355437665782,2019-11-01T00:00:00Z,22.62
12,2019,136.69446883230904,2019-12-01T00:00:00Z,22.78
1,2020,130.94051446945338,2020-01-01T00:00:00Z,24.88
2,2020,122.97123391370174,2020-02-01T00:00:00Z,26.42
3,2020,135.53508771929825,2020-03-01T00:00:00Z,22.8
4,2020,98.93872647176612,2020-04-01T00:00:00Z,24.97
5,2020,101.75053918044571,2020-05-01T00:00:00Z,27.82
6,2020,97.65739852988175,2020-06-01T00:00:00Z,31.29
7,2020,96.05117139334156,2020-07-01T00:00:00Z,32.44
8,2020,95.74542284219704,2020-08-01T00:00:00Z,34.41
9,2020,102.90925007295009,2020-09-01T00:00:00Z,34.27
10,2020,95.77337110481588,2020-10-01T00:00:00Z,35.3
11,2020,89.07965554359527,2020-11-01T00:00:00Z,37.16
12,2020,93.2857870606215,2020-12-01T00:00:00Z,39.26
1,2021,102.9115684093437,2021-01-01T00:00:00Z,35.96
2,2021,113.53489771359807,2021-02-01T00:00:00Z,33.24
3,2021,127.92786885245903,2021-03-01T00:00:00Z,30.5
4,2021,134.35494652406416,2021-04-01T00:00:00Z,29.92
5,2021,149.4723707664884,2021-05-01T00:00:00Z,28.05
6,2021,157.37827715355806,2021-06-01T00:00:00Z,26.7
7,2021,162.64683734939757,2021-07-01T00:00:00Z,26.56
8,2021,167.25886389630193,2021-08-01T00:00:00Z,26.23
9,2021,178.46548323471401,2021-09-01T00:00:00Z,25.35
10,2021,178.6387863878639,2021-10-01T00:00:00Z,24.39
11,2021,188.16068515497554,2021-11-01T00:00:00Z,24.52
12,2021,190.98603470165045,2021-12-01T00:00:00Z,23.63
1,2022,207.55517092167895,2022-01-01T00:00:00Z,23.11
2,2022,202.78768956289025,2022-02-01T00:00:00Z,22.42
3,2022,194.06309148264984,2022-03-01T00:00:00Z,22.19
4,2022,202.94017857142862,2022-04-01T00:00:00Z,22.4
5,2022,199.68188370975494,2022-05-01T00:00:00Z,20.81
6,2022,202.23027613412225,2022-06-01T00:00:00Z,20.28
7,2022,186.32878714076958,2022-07-01T00:00:00Z,20.53
8,2022,186.95551520653655,2022-08-01T00:00:00Z,22.03
9,2022,192.75267249757047,2022-09-01T00:00:00Z,20.58
10,2022,179.96232876712327,2022-10-01T00:00:00Z,20.44
11,2022,174.72134118713186,2022-11-01T00:00:00Z,22.07
12,2022,179.98101545253866,2022-12-01T00:00:00Z,22.65
1,2023,167.57843996494302,2023-01-01T00:00:00Z,22.82
2,2023,176.0346153846154,2023-02-01T00:00:00Z,23.4
3,2023,174.3773168578994,2023-03-01T00:00:00Z,22.66
4,2023,177.24581005586595,2023-04-01T00:00:00Z,23.27
5,2023,180.03758099352052,2023-05-01T00:00:00Z,23.15
6,2023,175.80258225739277,2023-06-01T00:00:00Z,24.01
7,2023,179.9511308562197,2023-07-01T00:00:00Z,24.76
8,2023,189.43418874172184,2023-08-01T00:00:00Z,24.16
9,2023,188.70748015043876,2023-09-01T00:00:00Z,23.93
10,2023,188.25241439859528,2023-10-01T00:00:00Z,22.78
11,2023,180.25776265418972,2023-11-01T00:00:00Z,23.51
12,2023,188.6911704312115,2023-12-01T00:00:00Z,24.35
1,2024,189.6373450619752,2024-01-01T00:00:00Z,25.01
2,2024,187.68898240244837,2024-02-01T00:00:00Z,26.14
3,2024,190.12139156180606,2024-03-01T00:00:00Z,27.02
4,2024,197.87811320754716,2024-04-01T00:00:00Z,26.5
5,2024,186.34942443371705,2024-05-01T00:00:00Z,26.93
6,2024,191.150506512301,2024-06-01T00:00:00Z,27.64
7,2024,195.12081254454742,2024-07-01T00:00:00Z,28.06
8,2024,197.7016333938294,2024-08-01T00:00:00Z,27.55
9,2024,196.9693623085144,2024-09-01T00:00:00Z,28.07
10,2024,197.39799446749652,2024-10-01T00:00:00Z,28.92
11,2024,193.47517730496455,2024-11-01T00:00:00Z,29.61
12,2024,201.50449850049984,2024-12-01T00:00:00Z,30.01
